year,content,doi,pdf,code,data,projects,featured,people
2016,"Brandt, M. J., Wetherell, G., & Crawford, J. T. (2016). Moralization and intolerance of ideological outgroups. In Joseph P. Forgas, Lee Jussim, & Paul A. M. van Lange (Eds.) <i>The Social Psychology of Morality</i> (pp. 239-256). New York: Routledge.",https://doi.org/10.4324/9781315644189-14,https://osf.io/kztga/files/7jr4q,,,"bsd, wvc",,
2016,"Crawford, J. T., Brandt, M. J., Inbar, Y., & Mallinas, S. (2016). Right-wing authoritarianism predicts prejudice equally toward ""gay men and lesbians"" and ""homosexuals."" <i>Journal of Personality and Social Psychology, 111</i>, e31-e45.",https://doi.org/10.1037/pspp0000070,https://osf.io/8x4m5/,https://osf.io/6x9qu/,https://osf.io/6x9qu/,wvc,,
2016,"Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A., …Brandt, M. J.,... Zwienenberg, M. (2016). A multi-lab pre-registered replication of the ego-depletion effect. <i>Perspectives on Psychological Science, 11</i>, 546-573.",https://doi.org/10.1177/1745691616652873,https://osf.io/6k7c8/,https://osf.io/jymhe/,https://osf.io/jymhe/,improve,,
2016,"Kay, A. C. & Brandt, M. J. (2016). Ideology and intergroup inequality: Emerging directions and trends. <i>Current Opinion in Psychology, 11</i>, 110-114.",https://doi.org/10.1016/j.copsyc.2016.07.007,https://osf.io/7a2uz/,,,"bsd, wvc",,
2015,"Brandt, M. J., Chambers, J. R., Crawford, J. T., Wetherell, G., & Reyna, C. (2015). Bounded openness: The effect of openness to experience on intolerance is moderated by target group conventionality. <i>Journal of Personality and Social Psychology, 109</i>, 549-568.",https://doi.org/10.1037/pspp0000055,https://osf.io/tqnes/,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/LK95TL,,wvc,,
2015,"Brandt, M. J., Evans, A. M., & Crawford, J. T. (2015). The unthinking or confident extremist? Political extremists are more likely to reject experimenter-generated anchors than moderates. <i>Psychological Science, 26</i>, 189-202.",https://doi.org/10.1177/0956797614559730,https://osf.io/u7kwe/,https://osf.io/9dvr5/,https://osf.io/9dvr5/,,,
2015,"Brandt, M. J., Henry, P. J., & Wetherell, G. (2015). The relationship between authoritarianism and life satisfaction changes depending on stigmatized status. <i>Social Psychology and Personality Science, 6</i>, 219-228.",https://doi.org/10.1177/1948550614552728,https://osf.io/2fn56/,https://dataverse.nl/file.xhtml?fileId=2565&datasetVersionId=34,,experiences,,
2015,"Brandt, M. J., & Proulx, T. (2015). QTIPs. Questionable theoretical and interpretive practices in social psychology. <i>Behavioral and Brain Sciences, 38</i>, 19-20. ",https://doi.org/10.1017/S0140525X14001149,https://osf.io/3m6a8/,,,,,
2015,"Brandt, M. J., Wetherell, G., & Henry, P.J. (2015). Changes in income predict change in social trust: A longitudinal analysis. <i>Political Psychology, 36</i>, 761-768.",https://doi.org/10.1111/pops.12228,https://osf.io/2jkhv/,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/CJHN6D,,experiences,,
2015,"Brandt, M. J., Wisneski, D., & Skitka, L. (2015) Moralization and the 2012 U.S. Presidential Election campaign. <i>Journal of Social and Political Psychology, 3</i>, 211-237.",https://doi.org/10.23668/psycharchives.1694,https://osf.io/m754f/,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/IW67CX,,,,
